"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"862","online got ","Neutral",4
"863","non uk ","Neutral",4
"864","never problem ","Negative",4
"865","said cancel ","Negative",4
"866","enough credit ","Positive",4
"867","£ day ","Neutral",4
"868","company use ","Neutral",4
"869","hold mins ","Neutral",4
"870","told complaints ","Negative",4
"871","customers service ","Neutral",4
"872","correct information ","Positive",4
"873","sent one ","Neutral",4
"874","worked perfectly ","Positive",4
"875","end month ","Neutral",4
"876","offered £ ","Neutral",4
"877","order sim ","Neutral",4
"878","service put ","Neutral",4
"879","phone took ","Neutral",4
"880","good service ","Positive",4
"881","talk someone ","Positive",4
"882","kept asking ","Neutral",4
"883","every minutes ","Neutral",4
"884","wrong phone ","Negative",4
"885","contract now ","Neutral",4
"886","services told ","Neutral",4
"887","told thing ","Neutral",4
"888","used mobile ","Neutral",4
"889","better going ","Positive",4
"890","service cancelled ","Negative",4
"891","card told ","Neutral",4
"892","bill paid ","Neutral",4
"893","phone broke ","Negative",4
"894","everyone else ","Neutral",4
"895","spent hour ","Negative",4
"896","several calls ","Neutral",4
"897","took money ","Positive",4
"898","told advisor ","Neutral",4
"899","english well ","Positive",4
"900","texts phone ","Neutral",4
"901","big company ","Positive",4
"902","one department ","Neutral",4
"903","person said ","Neutral",4
"904","needed speak ","Neutral",4
"905","trying find ","Neutral",4
"906","number times ","Neutral",4
"907","started charging ","Neutral",4
"908","told nothing ","Neutral",4
"909","phone phoned ","Neutral",4
"910","yet still ","Neutral",4
"911","another department ","Neutral",4
"912","following month ","Neutral",4
"913","went £ ","Neutral",4
"914","staff know ","Neutral",4
"915","next call ","Neutral",4
