"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"927","receive call ","Neutral",7
"928","someone phone ","Neutral",7
"929","asked call ","Neutral",7
"930","tried contact ","Positive",7
"931","cancelled order ","Negative",7
"932","missed payment ","Negative",7
"933","three years ","Neutral",7
"934","£ day ","Neutral",7
"935","official complaint ","Negative",7
"936","according o ","Neutral",7
"937","call told ","Neutral",7
"938","without telling ","Neutral",7
"939","services told ","Neutral",7
"940","blah blah ","Negative",7
"941","received call ","Positive",7
"942","pay o ","Negative",7
"943","month unlimited ","Positive",7
"944","o today ","Neutral",7
"945","credit £ ","Positive",7
"946","way treated ","Neutral",7
"947","£ top ","Neutral",7
"948","spent hour ","Negative",7
"949","issue o ","Neutral",7
"950","customer many ","Neutral",7
"951","big company ","Positive",7
"952","o another ","Neutral",7
"953","o via ","Neutral",7
"954","however o ","Neutral",7
"955","one two ","Neutral",7
"956","come o ","Neutral",7
"957","week ago ","Neutral",7
"958","took minutes ","Neutral",7
"959","contract early ","Neutral",7
"960","tell want ","Neutral",7
"961","happy service ","Positive",7
"962","another department ","Neutral",7
"963","rude staff ","Negative",7
"964","still charged ","Neutral",7
"965","ended contract ","Neutral",7
"966","month month ","Neutral",7
"967","calls later ","Neutral",7
"968","new o ","Positive",7
"969","service"", ""o ","Neutral",7
"970","date time ","Neutral",7
"971","transfer old ","Neutral",7
"972","worse worse ","Negative",7
"973","couple weeks ","Neutral",7
"974","taken money ","Positive",7
"975","mb data ","Neutral",7
"976","online chats ","Neutral",7
"977","sales team ","Neutral",7
"978","coverage good ","Positive",7
"979","send email ","Neutral",7
"980","first month ","Neutral",7
"981","extremely poor ","Negative",7
"982","back phone ","Neutral",7
"983","o make ","Neutral",7
"984","dont care ","Positive",7
"985","service representative ","Neutral",7
"986","sold phone ","Neutral",7
"987","days time ","Neutral",7
"988","os customer ","Neutral",7
"989","o sales ","Neutral",7
"990","nearly month ","Neutral",7
"991","absolute joke ","Positive",7
"992","£ excess ","Negative",7
"993","phone pay ","Negative",7
"994","wi fi ","Neutral",7
"995","extremely rude ","Negative",7
"996","contract time ","Neutral",7
"997","tried cancel ","Negative",7
"998","picture messages ","Neutral",7
"999","£ contract ","Neutral",7
"1000","worst phone ","Negative",7
"1001","contracts o ","Neutral",7
"1002","delivered next ","Neutral",7
"1003","charged extra ","Positive",7
"1004","data £ ","Neutral",7
"1005","bad credit ","Negative",7
"1006","went another ","Neutral",7
"1007","later got ","Neutral",7
"1008","close account ","Neutral",7
"1009","best deal ","Positive",7
"1010","signal area ","Neutral",7
"1011","last days ","Neutral",7
"1012","old contracts ","Neutral",7
"1013","text say ","Neutral",7
"1014","now days ","Neutral",7
"1015","contract new ","Positive",7
"1016","told different ","Neutral",7
"1017","left o ","Neutral",7
"1018","now want ","Neutral",7
"1019","""loyal customer ","Positive",7
"1020","said call ","Neutral",7
"1021","months left ","Neutral",7
"1022","right now ","Positive",7
"1023","o first ","Neutral",7
"1024","o online ","Neutral",7
"1025","quite happy ","Positive",7
"1026","credit report ","Positive",7
"1027","time trying ","Neutral",7
"1028","members staff ","Neutral",7
"1029","years customer ","Neutral",7
"1030","phone time ","Neutral",7
"1031","back within ","Neutral",7
"1032","money o ","Positive",7
"1033","give o ","Neutral",7
"1034","refund told ","Positive",7
"1035","time customer ","Neutral",7
"1036","use service ","Neutral",7
"1037","data use ","Neutral",7
"1038","nothing o ","Neutral",7
"1039","phone tried ","Neutral",7
"1040","home address ","Neutral",7
"1041","o nothing ","Neutral",7
"1042","per day ","Neutral",7
"1043","paying bill ","Neutral",7
"1044","unlock code ","Neutral",7
"1045","need contact ","Positive",7
"1046","tried online ","Neutral",7
"1047","keep getting ","Neutral",7
"1048","payment due ","Negative",7
"1049","worst service ","Negative",7
"1050","later told ","Neutral",7
"1051","little bit ","Neutral",7
"1052","hour half ","Neutral",7
"1053","avoid like ","Neutral",7
"1054","many people ","Neutral",7
"1055","plus £ ","Neutral",7
"1056","service network ","Neutral",7
"1057","take phone ","Neutral",7
"1058","o recently ","Neutral",7
"1059","also said ","Neutral",7
"1060","really poor ","Negative",7
"1061","bank statement ","Neutral",7
"1062","poor signal ","Negative",7
"1063","months old ","Neutral",7
"1064","phone stopped ","Negative",7
"1065","avoid company ","Negative",7
"1066","made feel ","Neutral",7
"1067","contract name ","Neutral",7
"1068","code o ","Neutral",7
"1069","wifes phone ","Neutral",7
"1070","paid extra ","Positive",7
"1071","o decided ","Neutral",7
"1072","days still ","Neutral",7
"1073","also received ","Positive",7
"1074","one else ","Neutral",7
"1075","minutes phone ","Neutral",7
"1076","went ahead ","Positive",7
"1077","contract cancel ","Negative",7
"1078","pretty good ","Positive",7
"1079","another contract ","Neutral",7
"1080","going back ","Neutral",7
"1081","monthly sim ","Neutral",7
"1082","contract years ","Neutral",7
"1083","mobile network ","Neutral",7
"1084","month o ","Neutral",7
"1085","phone within ","Neutral",7
"1086","text o ","Neutral",7
"1087","new order ","Positive",7
"1088","want talk ","Positive",7
"1089","contract within ","Neutral",7
"1090","call center ","Positive",7
"1091","upgraded phone ","Positive",7
"1092","service got ","Neutral",7
"1093","took new ","Positive",7
"1094","set phone ","Neutral",7
"1095","took phone ","Neutral",7
"1096","kept saying ","Neutral",7
"1097","phone find ","Neutral",7
"1098","want leave ","Negative",7
"1099","ordered new ","Positive",7
"1100","three months ","Neutral",7
"1101","contract called ","Neutral",6
"1102","contract contacted ","Neutral",6
"1103","need new ","Positive",6
"1104","still active ","Positive",6
"1105","£ pm ","Neutral",6
"1106","disappointed o ","Negative",6
"1107","miles away ","Neutral",6
"1108","upgraded iphone ","Positive",6
"1109","£ pounds ","Neutral",6
"1110","one asked ","Neutral",6
"1111","xperia z ","Neutral",6
"1112","different story ","Neutral",6
"1113","phone yet ","Neutral",6
"1114","£ told ","Neutral",6
"1115","phone days ","Neutral",6
"1116","already paid ","Neutral",6
"1117","said know ","Neutral",6
"1118","time go ","Neutral",6
"1119","never spoke ","Neutral",6
"1120","going pay ","Negative",6
"1121","willing help ","Positive",6
"1122","sent another ","Neutral",6
"1123","large amount ","Neutral",6
"1124","best deals ","Positive",6
"1125","stay o ","Neutral",6
"1126","disconnected phone ","Negative",6
"1127","contract one ","Neutral",6
"1128","£ upfront ","Neutral",6
"1129","text call ","Neutral",6
"1130","one ever ","Neutral",6
"1131","sent away ","Neutral",6
"1132","bills always ","Neutral",6
"1133","ever deal ","Positive",6
"1134","go anywhere ","Neutral",6
"1135","two hours ","Neutral",6
"1136","go elsewhere"", ","Neutral",6
"1137","o one ","Neutral",6
"1138","go contract ","Neutral",6
"1139","told needed ","Neutral",6
"1140","trying help ","Neutral",6
"1141","service way ","Neutral",6
"1142","vodafone o ","Neutral",6
"1143","join o ","Positive",6
"1144","eventually got ","Neutral",6
"1145","o life ","Neutral",6
"1146","asked manager ","Neutral",6
"1147","phone cancel ","Negative",6
"1148","use contract ","Neutral",6
"1149","told store ","Neutral",6
"1150","o let ","Neutral",6
"1151","sign o ","Neutral",6
"1152","used great ","Positive",6
"1153","phoned back ","Neutral",6
"1154","billed £ ","Neutral",6
"1155","nobody knows ","Neutral",6
"1156","use new ","Positive",6
"1157","several occasions ","Neutral",6
"1158","mobile service ","Neutral",6
"1159","number called ","Neutral",6
"1160","o going ","Neutral",6
"1161","need speak ","Neutral",6
"1162","one told ","Neutral",6
"1163","one year ","Neutral",6
"1164","told receive ","Neutral",6
"1165","thanks o ","Positive",6
"1166","put onto ","Neutral",6
"1167","never came ","Neutral",6
"1168","well clear"", ","Positive",6
"1169","free phone ","Positive",6
"1170","phone without ","Neutral",6
"1171","amount £ ","Neutral",6
"1172","read reviews ","Neutral",6
"1173","took details ","Neutral",6
"1174","online said ","Neutral",6
"1175","gave pac ","Neutral",6
"1176","wanted pay ","Negative",6
"1177","disappointed service ","Negative",6
"1178","o think ","Neutral",6
"1179","lady phone ","Neutral",6
"1180","contract sim ","Neutral",6
"1181","service asked ","Neutral",6
"1182","network o ","Neutral",6
"1183","first phone ","Neutral",6
"1184","credited account ","Positive",6
"1185","discount applied ","Neutral",6
"1186","upgrade time ","Neutral",6
"1187","told one ","Neutral",6
"1188","money told ","Positive",6
"1189","bill said ","Neutral",6
"1190","o unlock ","Neutral",6
"1191","years care ","Positive",6
"1192","""terrible customer ","Negative",6
"1193","company never ","Neutral",6
"1194","last couple ","Neutral",6
"1195","signal coverage ","Neutral",6
"1196","keep customers ","Neutral",6
"1197","first months ","Neutral",6
"1198","guy called ","Neutral",6
"1199","absolute disgrace ","Negative",6
"1200","really helpful ","Positive",6
"1201","avoid avoid"", ","Negative",6
"1202","days told ","Neutral",6
"1203","got better ","Positive",6
"1204","honestly say ","Neutral",6
"1205","cancelled dd ","Negative",6
"1206","contract expired ","Negative",6
"1207","trust o ","Positive",6
"1208","sony xperia ","Neutral",6
"1209","went home ","Neutral",6
"1210","hold mins ","Neutral",6
"1211","customers service ","Neutral",6
"1212","end month ","Neutral",6
"1213","always helpful ","Positive",6
"1214","now waiting ","Neutral",6
"1215","full signal ","Neutral",6
"1216","joke company ","Positive",6
"1217","o support ","Positive",6
"1218","kept asking ","Neutral",6
"1219","even go ","Neutral",6
"1220","say never ","Neutral",6
"1221","back received ","Positive",6
"1222","service rude ","Negative",6
"1223","got worse ","Negative",6
"1224","pay anything ","Negative",6
"1225","th feb ","Neutral",6
"1226","o made ","Neutral",6
"1227","o good ","Positive",6
"1228","everyone know ","Neutral",6
"1229","phone month ","Neutral",6
"1230","tried take ","Neutral",6
"1231","nothing wrong ","Negative",6
"1232","try sort ","Neutral",6
"1233","money taken ","Positive",6
"1234","top £ ","Neutral",6
"1235","treated like ","Positive",6
"1236","social media ","Neutral",6
"1237","texts phone ","Neutral",6
"1238","trying upgrade ","Neutral",6
"1239","kept taking ","Neutral",6
"1240","contract month ","Neutral",6
"1241","absolutely nothing ","Neutral",6
"1242","gave phone ","Neutral",6
"1243","phone due ","Neutral",6
"1244","th jan ","Neutral",6
"1245","money money ","Positive",6
"1246","moved another ","Neutral",6
"1247","free calls ","Positive",6
"1248","now years ","Neutral",6
"1249","bought iphone ","Neutral",6
"1250","call despite ","Neutral",6
"1251","years decided ","Neutral",6
"1252","customer relations ","Neutral",6
"1253","complete waste ","Negative",6
"1254","phoned customer ","Neutral",6
"1255","even look ","Neutral",6
"1256","new mobile ","Positive",6
"1257","first thing ","Neutral",6
"1258","unable use ","Negative",6
"1259","o give ","Neutral",6
"1260","ee o ","Neutral",6
"1261","phone account ","Neutral",6
"1262","number still ","Neutral",6
"1263","even g ","Neutral",6
"1264","new device ","Positive",6
"1265","puk code ","Neutral",6
"1266","got money ","Positive",6
"1267","single time ","Neutral",6
"1268","completely different ","Positive",6
"1269","weeks now ","Neutral",6
"1270","wait leave ","Negative",6
"1271","one able ","Neutral",6
"1272","advise everyone ","Positive",6
"1273","oh yes ","Positive",6
"1274","situation told ","Neutral",6
"1275","phone line ","Neutral",6
"1276","deal told ","Positive",6
"1277","different answers ","Neutral",6
"1278","rights act ","Neutral",6
"1279","calls customer ","Neutral",6
"1280","bad reviews ","Negative",6
"1281","star rating ","Positive",6
"1282","o please ","Positive",6
"1283","company"", ""o ","Neutral",6
"1284","o contacted ","Neutral",6
"1285","chat online ","Neutral",6
"1286","back saying ","Neutral",6
"1287","run data ","Neutral",6
"1288","support team ","Positive",6
"1289","happy take ","Positive",6
"1290","renewed contract ","Positive",6
"1291","else o ","Neutral",6
"1292","outgoing calls ","Neutral",6
"1293","contract days ","Neutral",6
"1294","car insurance ","Neutral",6
"1295","still unable ","Negative",6
