"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"788","say least ","Neutral",6
"789","long standing ","Neutral",6
"790","phone one ","Neutral",6
"791","seems like ","Positive",6
"792","please avoid ","Positive",6
"793","signal problems ","Negative",6
"794","give one ","Neutral",6
"795","surprise surprise ","Positive",6
"796","charges £ ","Neutral",6
"797","awful customer ","Negative",6
"798","phone without ","Neutral",6
"799","best service ","Positive",6
"800","wanted pay ","Negative",6
"801","£ cancel ","Negative",6
"802","day delivery ","Positive",6
"803","phone contracts ","Neutral",6
"804","never recommend ","Positive",6
"805","month later ","Neutral",6
"806","credited account ","Positive",6
"807","able call ","Neutral",6
"808","th november ","Neutral",6
"809","never issues ","Neutral",6
"810","another call ","Neutral",6
"811","lost phone ","Negative",6
"812","service provided ","Neutral",6
"813","stay well ","Positive",6
"814","better service ","Positive",6
"815","using gb ","Neutral",6
"816","abroad feel ","Neutral",6
"817","deal online ","Positive",6
"818","speak supervisor ","Neutral",6
"819","pay pounds ","Negative",6
"820","one contract ","Neutral",6
"821","network customer ","Neutral",6
"822","first bill ","Neutral",6
"823","used allowance ","Neutral",6
"824","service advisors ","Neutral",6
"825","sales person ","Neutral",6
"826","time said ","Neutral",6
"827","month service ","Neutral",6
"828","told use ","Neutral",6
"829","call told ","Neutral",6
"830","service rude ","Negative",6
"831","wrong phone ","Negative",6
"832","data contract ","Neutral",6
"833","though told ","Neutral",6
"834","£ one ","Neutral",6
"835","£ last ","Neutral",6
"836","time asked ","Neutral",6
"837","past weeks ","Neutral",6
"838","family members ","Neutral",6
"839","now still ","Neutral",6
"840","ve ever ","Neutral",6
"841","thinking joining ","Neutral",6
"842","wasting time ","Negative",6
"843","ever dealt ","Neutral",6
"844","treated like ","Positive",6
"845","several years ","Neutral",6
"846","s website ","Neutral",6
"847","helpful friendly ","Positive",6
"848","call said ","Neutral",6
"849","need go ","Neutral",6
"850","answer questions ","Neutral",6
"851","contract early ","Neutral",6
"852","service now ","Neutral",6
"853","want speak ","Neutral",6
"854","today called ","Neutral",6
"855","unlimited texts ","Positive",6
"856","plan gb ","Neutral",6
"857","waiting call ","Neutral",6
"858","try charge ","Neutral",6
"859","number one ","Neutral",6
"860","years phone ","Neutral",6
"861","phone put ","Neutral",6
"862","let cancel ","Negative",6
"863","stuff sucks ","Negative",6
"864","mb data ","Neutral",6
"865","cancel one ","Negative",6
"866","completely different ","Positive",6
"867","send email ","Neutral",6
"868","phone sent ","Neutral",6
"869","soon contract ","Neutral",6
"870","finally decided ","Positive",6
"871","service representative ","Neutral",6
"872","calls customer ","Neutral",6
"873","best customer ","Positive",6
"874","told contract ","Neutral",6
"875","owed money ","Positive",6
"876","third time ","Neutral",6
"877","even got ","Neutral",6
"878","kept repeating ","Neutral",6
"879","contract contract ","Neutral",6
"880","sort problem ","Negative",6
"881","contract said ","Neutral",6
"882","transfer number ","Neutral",6
"883","monthlysim onlyiphonesamsung ","Neutral",6
"884","service rep ","Neutral",6
"885","terrible service ","Negative",6
"886","never even ","Neutral",6
"887","hours later ","Neutral",6
"888","let leave ","Negative",6
"889","old phone ","Neutral",6
"890","contract even ","Neutral",6
"891","upfront cost ","Neutral",6
"892","now wait ","Negative",6
"893","go away ","Neutral",6
"894","use minutes ","Neutral",6
"895","now left ","Neutral",6
"896","said nothing ","Neutral",6
"897","£ week ","Neutral",6
"898","sent letter ","Neutral",6
"899","roaming abroad ","Neutral",6
"900","keep phone ","Neutral",6
"901","back hours ","Neutral",6
"902","home plan ","Neutral",6
"903","decided upgrade ","Neutral",6
"904","previous provider ","Neutral",6
"905","month now ","Neutral",6
"906","network signal ","Neutral",6
"907","use phones ","Neutral",6
"908","speed test ","Neutral",6
"909","""loyal customer ","Positive",6
"910","said call ","Neutral",6
"911","staff rude ","Negative",6
"912","gb £ ","Neutral",6
"913","must phone ","Neutral",6
"914","t listen ","Neutral",6
"915","good day ","Positive",6
"916","phone internet ","Neutral",6
"917","ever use ","Neutral",6
"918","wrong information ","Negative",6
"919","resolve problem ","Positive",6
