"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"557","
""weeks ago ","Neutral",1
"558","sevice wouldnt ","Neutral",1
"559","settings order ","Neutral",1
"560","give man ","Neutral",1
"561","quick neededwhilst ","Neutral",1
"562","towards disabled ","Negative",1
"563","open area ","Neutral",1
"564","long enough ","Negative",1
"565","time motorola ","Neutral",1
"566","requested pac ","Neutral",1
"567","hassle lack ","Negative",1
"568","monday nothing ","Neutral",1
"569","please reconsider ","Positive",1
"570","nonuk resident ","Neutral",1
"571","car middle ","Neutral",1
"572","now another ","Neutral",1
"573","returned repairapparently ","Neutral",1
"574","using tatics ","Neutral",1
"575","help luckily ","Positive",1
"576","contract despite ","Neutral",1
"577","service time ","Neutral",1
"578","cant fault ","Negative",1
"579","access identity ","Neutral",1
"580","another appear ","Neutral",1
"581","later unable ","Negative",1
"582","ways treat ","Neutral",1
"583","understand happened ","Neutral",1
"584","g service ","Neutral",1
"585","away home ","Neutral",1
"586","hour landline ","Neutral",1
"587","imagine surprise ","Positive",1
"588","phone invitation ","Positive",1
"589","magazine supported ","Positive",1
"590","now signed ","Neutral",1
"591","hike mountain ","Neutral",1
"592","refused help ","Negative",1
"593","obtain new ","Positive",1
"594","reconsider paltry ","Negative",1
"595","pick voicemail ","Neutral",1
"596","working left ","Positive",1
"597","put credit ","Positive",1
"598","issues software ","Neutral",1
"599","car give ","Neutral",1
"600","let tescomobile ","Neutral",1
"601","service demanding ","Negative",1
"602","longer offer ","Positive",1
"603","without early ","Neutral",1
"604","allow leave ","Neutral",1
"605","valued £ ","Neutral",1
"606","crap sent ","Negative",1
"607","call us ","Neutral",1
"608","reading kings ","Positive",1
"609","mobile frequently ","Neutral",1
"610","mast stopped ","Negative",1
"611","two phones ","Neutral",1
"612","nearest village ","Neutral",1
"613","asked jiggy ","Neutral",1
"614","need review ","Neutral",1
"615","back manger ","Neutral",1
"616","facebroke twits ","Neutral",1
"617","shop help ","Neutral",1
"618","problem emanating ","Negative",1
"619","problem customers ","Negative",1
"620","business practices ","Neutral",1
"621","fast one ","Neutral",1
"622","minutes ever ","Neutral",1
"623","left wondering ","Neutral",1
"624","thought idea ","Neutral",1
"625","refund monthly ","Positive",1
"626","asked personal ","Neutral",1
"627","back waste ","Negative",1
"628","meantime asked ","Neutral",1
"629","someone come ","Neutral",1
"630","health mental ","Neutral",1
"631","contract mobile ","Neutral",1
"632","actually needed ","Neutral",1
"633","language back ","Neutral",1
"634","way keep ","Neutral",1
"635","since motorola ","Neutral",1
"636","""definitely vile ","Negative",1
"637","january month ","Neutral",1
"638","go shopping ","Positive",1
"639","concise never ","Positive",1
"640","need ask ","Neutral",1
"641","viewings imagine ","Neutral",1
"642","resident similar ","Neutral",1
"643","really show ","Neutral",1
"644","details nonuk ","Neutral",1
"645","information access ","Positive",1
"646","afterwards despite ","Neutral",1
"647","first time ","Neutral",1
"648","assured best ","Positive",1
"649","phone uk ","Neutral",1
"650","services told ","Neutral",1
"651","texts seem ","Neutral",1
"652","also ask ","Neutral",1
"653","currently hung ","Neutral",1
"654","possibleven back ","Neutral",1
"655","information hike ","Positive",1
"656","email bee ","Neutral",1
"657","voicemail last ","Neutral",1
"658","worry refund ","Positive",1
"659","phones top ","Neutral",1
"660","tescomobile rest ","Neutral",1
"661","g great ","Positive",1
"662","wifi hotels ","Neutral",1
"663","despite cancelled ","Negative",1
"664","mobile providers ","Neutral",1
"665","trying use ","Neutral",1
"666","waiting reply ","Neutral",1
"667","weeks later ","Neutral",1
"668","give details ","Neutral",1
"669","
""good customer ","Positive",1
"670","hotels wifi ","Neutral",1
"671","going unless ","Neutral",1
"672","work optimally ","Positive",1
"673","megabyte used ","Neutral",1
"674","lose sale ","Negative",1
"675","actually use ","Neutral",1
"676","top phone ","Neutral",1
"677","near lands ","Neutral",1
"678","invitation go ","Positive",1
"679","lose signal ","Negative",1
"680","lack sevice ","Negative",1
"681","protect renege ","Positive",1
"682","texts free ","Positive",1
"683","something fit ","Positive",1
"684","went weeks ","Neutral",1
"685","bombarded ads ","Neutral",1
"686","payment error ","Negative",1
"687","talk talk ","Positive",1
"688","even tjough ","Neutral",1
"689","inform payment ","Negative",1
"690","october email ","Neutral",1
"691","try untenable ","Negative",1
"692","still pay ","Negative",1
"693","customer experience ","Neutral",1
"694","issues mobile ","Neutral",1
"695","claim deal ","Positive",1
"696","reporting company ","Neutral",1
"697","finished paying ","Neutral",1
"698","use months ","Neutral",1
"699","exceeded mobile ","Positive",1
"700","sly underhanded ","Negative",1
"701","""mobile sold ","Neutral",1
"702","emergency medical ","Negative",1
"703","person might ","Neutral",1
"704","receive texts ","Neutral",1
"705","use network ","Neutral",1
"706","spending quid ","Neutral",1
"707","sign asked ","Neutral",1
"708","programed say"", ","Neutral",1
"709","every megabyte ","Neutral",1
"710","bee received ","Positive",1
"711","web portal ","Neutral",1
"712","severe ethical ","Neutral",1
"713","asked long ","Neutral",1
"714","mobile always ","Neutral",1
"715","treated like ","Positive",1
"716","several years ","Neutral",1
"717","social media ","Neutral",1
"718","never waited ","Neutral",1
"719","seem interested"", ","Positive",1
"720","asked compensation ","Neutral",1
"721","back advised ","Neutral",1
"722","along help ","Neutral",1
"723","problem fixed ","Negative",1
"724","recommend"", 
""pay ","Positive",1
"725","months rental ","Neutral",1
"726","give kevin ","Neutral",1
"727","must contact ","Positive",1
"728","service awards ","Positive",1
"729","phoned say ","Neutral",1
"730","comments reviews ","Neutral",1
"731","shops top ","Neutral",1
"732","october telephoned ","Neutral",1
"733","data limit ","Negative",1
"734","back told ","Neutral",1
"735","purpose"", 
""good ","Positive",1
"736","speak becauce ","Neutral",1
"737","rescued decided ","Positive",1
"738","later came ","Neutral",1
"739","mobile benefit ","Positive",1
"740","fault great ","Neutral",1
"741","agents lose ","Negative",1
"742","part country ","Neutral",1
"743","mobile protect ","Positive",1
"744","ordered jiggy ","Neutral",1
"745","needed call ","Neutral",1
"746","service problems ","Negative",1
"747","problem live ","Negative",1
"748","leave able ","Negative",1
"749","rest empire ","Neutral",1
"750","keep warm ","Positive",1
"751","gave info ","Neutral",1
"752","right leave ","Positive",1
"753","west cornwall ","Neutral",1
"754","companies customer ","Neutral",1
"755","£ even ","Neutral",1
"756","away make ","Neutral",1
"757","much easier ","Positive",1
"758","sons phone ","Neutral",1
"759","uk trying ","Neutral",1
"760","left message ","Neutral",1
"761","one claiming ","Neutral",1
"762","working hours ","Positive",1
"763","conditions preach ","Neutral",1
"764","provide proper ","Positive",1
"765","recounted whole ","Neutral",1
"766","today called ","Neutral",1
"767","week arrange ","Neutral",1
"768","medical service ","Neutral",1
"769","date mobile ","Neutral",1
"770","smiley face ","Neutral",1
"771","charge properly ","Positive",1
"772","went back ","Neutral",1
"773","permission leave ","Positive",1
"774","account point ","Neutral",1
"775","getting texts ","Neutral",1
"776","warm even ","Positive",1
"777","crap go ","Negative",1
"778","mins later ","Neutral",1
"779","excellent pleased ","Positive",1
"780","believe failed ","Negative",1
"781","think high ","Neutral",1
"782","little countstwo ","Neutral",1
"783","spend k ","Neutral",1
"784","ceo talk ","Positive",1
"785","give valid ","Neutral",1
"786","""bought pay ","Negative",1
"787","contract previously ","Neutral",1
"788","stopped working ","Negative",1
"789","warning gone ","Negative",1
"790","service"", ""short ","Neutral",1
"791","shelf life ","Neutral",1
"792","weeks insisted ","Neutral",1
"793","now years ","Neutral",1
"794","warranty expired ","Negative",1
"795","paying fine ","Positive",1
"796","australia expensive ","Negative",1
"797","outstandingtwelve hours ","Neutral",1
"798","tells much ","Neutral",1
"799","contract credit ","Positive",1
"800","better quality ","Positive",1
"801","found latter ","Positive",1
"802","person called ","Neutral",1
"803","writing asked ","Neutral",1
"804","albeit limited ","Negative",1
"805","phone america ","Neutral",1
"806","along rescued ","Positive",1
"807","obtain additional ","Positive",1
"808","side rubbish ","Negative",1
"809","give permission ","Positive",1
"810","completely useless ","Negative",1
"811","think much ","Neutral",1
"812","complete waste ","Negative",1
"813","realised getting ","Neutral",1
"814","access netwrok ","Neutral",1
"815","publicise truth ","Positive",1
"816","s customers ","Neutral",1
"817","non phones ","Neutral",1
"818","underhanded business ","Neutral",1
"819","know every ","Neutral",1
"820","gps even ","Neutral",1
"821","limit inform ","Negative",1
"822","pc internet ","Neutral",1
"823","supplier known ","Neutral",1
"824","new mobile ","Positive",1
"825","unable handle ","Negative",1
"826","unable use ","Negative",1
"827","medical services ","Neutral",1
"828","fourteen days ","Neutral",1
"829","device contact ","Positive",1
"830","offer came ","Positive",1
"831","travel mile ","Neutral",1
"832","something booster ","Neutral",1
"833","number also ","Neutral",1
"834","man anywhere ","Neutral",1
"835","say"", ""definitely ","Neutral",1
"836","one star ","Positive",1
"837","first review ","Neutral",1
"838","cancel contract ","Negative",1
"839","asked getting ","Neutral",1
"840","regulator regarding ","Neutral",1
"841","much motorola ","Neutral",1
"842","tell days ","Neutral",1
"843","paltry offer ","Negative",1
"844","treat us ","Neutral",1
"845","lot time ","Neutral",1
"846","fee told ","Negative",1
"847","use british ","Neutral",1
"848","internet tetherd ","Neutral",1
"849","time energy ","Neutral",1
"850","money never ","Positive",1
"851","reliable asked ","Positive",1
"852","form informed ","Neutral",1
"853","e phone ","Neutral",1
"854","reasonable offer ","Positive",1
"855","turning returned ","Neutral",1
"856","brand new ","Positive",1
"857","fit purpose"", ","Positive",1
"858","number work ","Positive",1
"859","liked guys ","Positive",1
"860","appalling way ","Negative",1
"861","next negative ","Negative",1
"862","registered disabled ","Negative",1
"863","work signal ","Positive",1
"864","order reliable ","Positive",1
"865","even g ","Neutral",1
"866","saw dreaded ","Negative",1
"867","guess absolutely ","Neutral",1
"868","clear several ","Positive",1
"869","stars trust"", ","Positive",1
"870","returning without ","Neutral",1
"871","clear concise ","Positive",1
"872","bit longer ","Neutral",1
"873","suits ground ","Neutral",1
"874","far pleased ","Positive",1
"875","reason rely ","Positive",1
"876","limit gigs ","Negative",1
"877","cancelled agent ","Negative",1
"878","proceeded provide ","Positive",1
"879","noticed phone ","Neutral",1
"880","device car ","Neutral",1
"881","customers called ","Neutral",1
"882","high standard ","Neutral",1
"883","step"", 
""decided ","Neutral",1
"884","cancelling contract ","Negative",1
"885","se january ","Neutral",1
"886","stupidly signed ","Negative",1
